Longitude,Latitude,OBJECTID,site_name,Suburb,Location,Accessible
151.204949365019000,-33.887428659207700,131,Prince Alfred Park,Surry Hills,Park,Wheelchair accessible
151.206694749364000,-33.886160536202500,132,Prince Alfred Park,Surry Hills,Park,Wheelchair accessible
151.215004018204000,-33.896145374525700,133,Edmund Resch Reserve,Redfern,Reserve,Wheelchair accessible
151.214466008396000,-33.872192177503300,134,Cook and Phillip Park,Woolloomooloo,Park,No wheelchair access
151.212779993737000,-33.864933040915200,135,Royal Botanic Gardens,Sydney,Footway,No wheelchair access
151.184783920693000,-33.871335693285200,136,Blackwattle Bay Park,Glebe,Park,Wheelchair accessible
151.223341947636000,-33.867956135627800,137,Embarkation Park,Potts Point,Park,Wheelchair accessible
151.191991695334000,-33.901927708493600,138,Erskineville Park and Oval,Erskineville,Park,No wheelchair access
151.190198423699000,-33.901572775431000,139,Erskineville Park and Oval,Erskineville,Park,Wheelchair accessible
151.197592726246000,-33.881169568029600,140,McKee Street Reserve,Ultimo,Park,No wheelchair access
151.206040023481000,-33.866933179174500,141,Wynyard Park,Sydney,Park,No wheelchair access
151.192227260335000,-33.864034004921100,142,Giba Park,Pyrmont,Park,No wheelchair access
151.20557429380900,-33.863645045243700,143,Lang Park,Sydney,Park,No wheelchair access
151.205172382510000,-33.858408990036700,144,Argyle Place Park,Millers Point,Park,No wheelchair access
151.205410785309000,-33.859841635682700,145,Observatory Hill Park,Millers Point,Park,No wheelchair access
151.204318926789000,-33.860257213543300,146,Observatory Hill Park,Millers Point,Park,No wheelchair access
151.205858386200000,-33.859428031220100,147,Observatory Hill Park,Millers Point,Park,
151.212414110730000,-33.87921955183480,148,Harmony Park (Surry Hills Park),Surry Hills,Park,Wheelchair accessible
151.211906663908000,-33.880026099785500,149,Harmony Park (Surry Hills Park),Surry Hills,Park,Wheelchair accessible
151.212365554626000,-33.869360813256800,150,Barracks Square,Sydney,Park,No wheelchair access
151.198353389533000,-33.884143539815400,151,Wattle & Broadway Rest Area,Ultimo,Footway,No wheelchair access
151.192750138399000,-33.884419088335000,152,Jubilee Fountain Plaza,Camperdown,Footway,No wheelchair access
151.21145693912500,-33.871305221144800,153,Hyde Park North,Sydney,Park,No wheelchair access
151.221186518155000,-33.871380884332700,154,Dowling St,Woolloomooloo,Park,No wheelchair access
151.193480308093000,-33.863165701062400,155,Pirrama Park,Pyrmont,Park,No wheelchair access
151.191731870571000,-33.863823663824300,156,Pirrama Park,Pyrmont,Park,Wheelchair accessible
151.211950362619000,-33.896722107638600,157,Baptist St Reserve,Redfern,Reserve,No wheelchair access
